entry,name,size_bytes,custom_closure
0x0800f510,FUN_0800f510,16,
0x0800f530,FUN_0800f530,16,
0x0800f550,FUN_0800f550,16,
0x0800f570,FUN_0800f570,16,
0x0800f590,FUN_0800f590,16,
0x0800f5b0,FUN_0800f5b0,16,
0x0800f5d0,FUN_0800f5d0,314,
0x0800f610,FUN_0800f610,148,
0x0800f6c0,FUN_0800f6c0,114,
0x0800f750,FUN_0800f750,12,
0x0800f790,FUN_0800f790,30,
0x0800f830,FUN_0800f830,54,
0x0800f870,FUN_0800f870,184,
0x0800f930,FUN_0800f930,420,
0x0800fae0,FUN_0800fae0,164,yes
0x0800fb94,FUN_0800fb94,216,
0x0800fc82,FUN_0800fc82,200,
0x0800fd60,FUN_0800fd60,30,
0x0800fd90,FUN_0800fd90,28,
0x0800fdc0,FUN_0800fdc0,102,
0x0800fe30,FUN_0800fe30,184,
0x0800fef0,FUN_0800fef0,24,
0x0800ff10,FUN_0800ff10,26,
0x0800ff30,FUN_0800ff30,26,
0x0800ff50,FUN_0800ff50,18,
0x0800ff70,FUN_0800ff70,58,
0x0800ffb0,FUN_0800ffb0,146,
0x08010050,FUN_08010050,76,
0x080100a0,FUN_080100a0,184,
0x08010160,FUN_08010160,296,
0x08010250,FUN_08010250,20,
0x08010270,FUN_08010270,42,
0x080102a0,FUN_080102a0,20,
0x080102c0,FUN_080102c0,20,
0x080102e0,FUN_080102e0,20,
0x08010300,FUN_08010300,20,
0x08010344,FUN_08010344,112,
0x080103c0,FUN_080103c0,72,
0x08010430,FUN_08010430,174,
0x08010500,FUN_08010500,8,
0x08010508,FUN_08010508,62,
0x08010560,FUN_08010560,16,
0x08010570,FUN_08010570,140,
0x08010600,FUN_08010600,16,
0x08010620,FUN_08010620,16,
0x08010640,FUN_08010640,28,
0x080106c0,FUN_080106c0,248,
0x080107c0,FUN_080107c0,16,
0x080107e0,FUN_080107e0,16,
0x08010800,FUN_08010800,16,
0x08010820,FUN_08010820,16,
0x08010840,FUN_08010840,16,
0x08010860,FUN_08010860,94,
0x08010900,FUN_08010900,226,yes
0x08010a10,FUN_08010a10,130,
0x08010ab0,FUN_08010ab0,24,yes
0x08010ad0,thunk_FUN_0800f150,4,
0x08010ae0,FUN_08010ae0,2,
0x08010af0,FUN_08010af0,64,
0x08010b40,FUN_08010b40,174,
0x08010c00,FUN_08010c00,174,
0x08010cd0,FUN_08010cd0,6,
0x08010ce0,FUN_08010ce0,88,
0x08010d60,FUN_08010d60,24,
0x08010d80,FUN_08010d80,180,
0x08010e60,FUN_08010e60,88,
0x08010ed0,FUN_08010ed0,120,
0x08010f60,FUN_08010f60,40,
0x08010f90,FUN_08010f90,44,
0x08010fc0,FUN_08010fc0,46,
0x08010ff0,FUN_08010ff0,64,
0x08011040,FUN_08011040,24,
0x08011060,FUN_08011060,24,
0x08011080,FUN_08011080,44,
0x080110b0,FUN_080110b0,44,
0x080110e0,FUN_080110e0,38,
0x08011110,FUN_08011110,18,
0x08011130,FUN_08011130,136,
0x080111d0,FUN_080111d0,26,
0x080111f0,FUN_080111f0,18,
0x08011210,FUN_08011210,34,
0x08011240,FUN_08011240,34,
0x08011270,FUN_08011270,32,
0x08011290,FUN_08011290,20,
0x080112b0,FUN_080112b0,168,
0x08011310,FUN_08011310,6,
0x08011320,FUN_08011320,44,
0x08011350,FUN_08011350,58,
0x08011390,FUN_08011390,26,
0x080113b0,FUN_080113b0,12,
0x080113c0,FUN_080113c0,484,
0x080115b0,FUN_080115b0,198,
0x08011690,FUN_08011690,200,
0x08011760,FUN_08011760,72,
0x080117b0,FUN_080117b0,34,
0x080117e0,FUN_080117e0,52,
0x08011820,FUN_08011820,346,
0x08011a00,FUN_08011a00,112,
0x08011a80,FUN_08011a80,40,
0x08011ab0,FUN_08011ab0,70,
0x08011b10,FUN_08011b10,270,
0x08011c40,FUN_08011c40,1102,
